ISBN,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-989-9225-07-7,"1,2,3 Quá! : de A a Z","Nesta narrativa quase sem texto, sete patinhos vão desaparecendo, um a um, para desespero da mãe pata (ou pai pato). Felizmente, um grupo de crianças corre em seu auxílio, mas serão os patinhos capazes de não se meter em apuros novamente? Além de promover o contacto com os números e o processo de contagem, este é um livro divertido, repleto de onomatopeias e com um final inesperado, que se mostra especialmente adequado para crianças mais pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=589994&img=81626&res=100&thb=1&pag=1,"Moniz, Madalena, 1985-","Lisboa : Orfeu Negro, 2025",Orfeu Mini,Literatura Portuguesa,087.5(0-5)
978-989-749-189-4,"Urso-Polar, Urso-Polar, o que estás a ouvir?","Álbum, com capa e páginas duras, recheado de excelentes ilustrações, com uma lengalenga de “vozes de animais construída com coerência, pronta a interagir com o leitor/ouvinte. Como livro-objecto, os cantos redondos e o acabamento gráfico tornam esta obra altamente recomendável para a construção do leitor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=587531&img=81641&res=100&thb=1&pag=1,"Martin Jr., Bill, 1916-2004;Carle, Eric, 1929-2021, il.;Noronha, Ana M., trad.","Matosinhos : Kalandraka, 2024",,Pré-leitores,087.5(0-5)
978-989-9071-76-6,"Boa, mamã pinguim!","Uma aventura cheia de suspense e humor, com muita determinação feminina, para encher de amor mães audazes, tantas vezes cansadas e sempre perfeitas tal como são![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=567175&img=72161&res=100&thb=1&pag=1,"Haughton, Chris, 1978-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2024",Orfeu mini,Literatura Irlandesa,087.5(0-5)
978-989-35027-5-4,O livro do inverno,"No inverno, os habitantes da cidade saem de casa agasalhados e veem cair os primeiros flocos de neve. Uns perdem o autocarro, outros as chaves e a carteira e há até quem perca um papagaio. Começam as obras do jardim de infância e o Natal está à porta. Conseguirá o leitor descobrir estes e outros eventos nas páginas deste livro-formigueiro (wimmelbook)? Este é um dos quatro volumes da coleção dos livros das estações. O formato grande e cartonado, de cantos arredondados, adequa-se ao manuseamento autónomo por parte das crianças mais pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=572467&img=77817&res=100&thb=1&pag=1,"Berner, Rotraut Susanne, 1948-","[S.l.] : Albana Lima, 2024",Livros formigueiro,Estórias sobre as estações do ano,087.5(0-5)
978-989-749-179-5,Tarde de sapo,"Uma narrativa muito simples, dando primazia à ilustração; esta é sugestiva e, plasticamente, bem concebida. Tudo se resume à atitude estática de um sapo, apenas alterada quando um potencial alimento voa, passando junto dele. Na linha do jogo infantil, o “não me agarras marca a dinâmica deste livro, gerando uma recepção divertida.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=575142&img=81471&res=100&thb=1&pag=1,"Mutuberria, Maite, 1985-;Ramos, Elisabete, 1976-, trad.","Matosinhos, : Kalandraka, 2024",Livros para sonhar,Literatura Espanhola,087.5(0-5)
978-989-787-484-0,Cheio de sono e bem acordado,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Com uma estrutura próxima da lengalenga tradicional, a autora pretende divertir a criança antes de o sono chegar. Nota-se uma certa originalidade; preenche o espaço importante pelas marcas afectivas de proximidade com o adulto. O elemento rítmico é nuclear. Como objecto, este livro de capa e folhas cartonadas, cria uma certa apetência para estar junto da cama.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=569265&img=72932&res=100&thb=1&pag=1,"Strasser, Susanne, 1976-;Xavier, Lara, 1971-, trad.","Lisboa : Nuvem de Letras, 2024",,,087.5(0-5)
978-989-783-451-6,"Boa noite, lua","[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Tardou em chegar a Portugal este clássico de Margaret Wise Brown e Clement Hurd, uma obra que retrata com simplicidade a rotina na hora de dormir, através de um texto em rima, delicado e ternurento, e ilustrações pormenorizadas que os leitores infantis tenderão a explorar autonomamente.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=581336&img=77896&res=100&thb=1&pag=1,"Brown, Margaret Wise, 1910-1952;Hurd, Clement, 1908-1988, il.;Dias, Inês, 1976-, trad.","Lisboa : Relógio d'Água, 2024",Universos Mágicos,Pré-leitores,087.5(0-5)
978-989-787-731-5,O jardim da minha avó,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Em O Jardim da Minha Avó somos convidados a descobrir o encanto da ligação entre uma criança e a sua avó imigrante. Pelas movimentadas estradas que atravessa todas as manhãs, o menino entrega-se à contemplação do que vai observando até chegar à modesta casa da avó, rodeada de um pequeno e extraordinário jardim. Avó e neto partilham algumas palavras e tantos gestos, em momentos cheios de significado. Esta é uma narrativa tocante sobre amor, origens e legado. É uma homenagem aos avós que plantam as sementes do afeto nos pequenos gestos e aos netos que delas cuidam e nutrem, a cada dia.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=575864&img=77998&res=100&thb=1&pag=1,"Scott, Jordan, 1978-;Smith, Sydney, 1980-, il.;Ferreira, Susana Cardoso, 1972-, trad.","Lisboa : Fábula, 2024",,Literatura Canadiana,087.5(5-10)
978-989-35027-2-3,O livro da primavera,"Na primavera, os habitantes da cidade aproveitam para fazer limpezas e arejar roupas de cama e tapetes. As árvores enchem-se de flores e os animais procuram o seu par. Até o Malhado arranjou uma companheira. O Manuel tem menos sorte e acaba por escorregar numa casca de banana, mas é assim que conhece a Elsa e o Falcão. Conseguirá o leitor encontrar estas e outras personagens em todas as páginas deste livro-formigueiro (wimmelbook)? Este é um dos quatro volumes da coleção dos livros das estações. O formato grande e cartonado, de cantos arredondados, adequa-se ao manuseamento autónomo por parte das crianças mais pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=572543&img=77815&res=100&thb=1&pag=1,"Berner, Rotraut Susanne, 1948-","[S.l.] : Albana Lima, 2024",Livros formigueiro,Estórias sobre as estações do ano,087.5(0-5)
978-989-35027-4-7,O livro do outono,"No outono, os habitantes da cidade preparam-se para o concurso de abóboras e para o desfile de lanternas, que termina com um concerto no parque. É tempo de castanhas assadas, mas o Carlos e o Fred não têm mãos a medir com tantas folhas espalhadas pelo chão. Conseguirá o leitor descobrir estas e outras personagens nas páginas deste livro-formigueiro (wimmelbook)? Este é um dos quatro volumes da coleção dos livros das estações. O formato grande e cartonado, de cantos arredondados, adequa-se ao manuseamento autónomo por parte das crianças mais pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=572525&img=77816&res=100&thb=1&pag=1,"Berner, Rotraut Susanne, 1948-","[S.l.] : Albana Lima, 2024",Livros formigueiro,Estórias sobre as estações do ano,087.5(0-5)
